annotation_id,phrase_id,order,tokens,token_ids,tag,category,subcategory,type
PH-00005-A3,PH-00005,3,coche,PH-00005-T3,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00005-A4,PH-00005,4,rojo,PH-00005-T4,ADJ-INT-COLOR,Adjective,Intersective,Color
PH-00006-A1,PH-00006,1,Un,PH-00006-T1,ART-INDEF,Article,Indefinite,
PH-00006-A2,PH-00006,2,nuevo,PH-00006-T2,ADJ-NINT-AGE,Adjective,Non-intersective,Age
PH-00006-A3,PH-00006,3,coche,PH-00006-T3,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00006-A4,PH-00006,4,eléctrico,PH-00006-T4,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
PH-00006-A5,PH-00006,5,para la familia,"PH-00006-T5, PH-00006-T6, PH-00006-T7",PP,Prepositional Phrase,,
PH-00007-A1,PH-00007,1,Mis,PH-00007-T1,POSS-GEN,Possessive,Genitive,
PH-00007-A2,PH-00007,2,zapatos,PH-00007-T2,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00007-A3,PH-00007,3,marrones,PH-00007-T3,ADJ-INT-COLOR,Adjective,Intersective,Color
PH-00007-A4,PH-00007,4,viejos,PH-00007-T4,ADJ-NINT-AGE,Adjective,Non-intersective,Age
PH-00008-A1,PH-00008,1,Unos,PH-00008-T1,ART-INDEF,Article,Indefinite,
PH-00008-A2,PH-00008,2,zapatos,PH-00008-T2,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00008-A3,PH-00008,3,negros,PH-00008-T3,ADJ-INT-COLOR,Adjective,Intersective,Color
PH-00008-A4,PH-00008,4,viejos,PH-00008-T4,ADJ-NINT-AGE,Adjective,Non-intersective,Age
PH-00009-A1,PH-00009,1,Muchos,PH-00009-T1,QUANT-EXIST,Quantifier,Existential,
PH-00009-A2,PH-00009,2,libros,PH-00009-T2,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00009-A3,PH-00009,3,interesantes,PH-00009-T3,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
PH-00010-A1,PH-00010,1,Muchos,PH-00010-T1,QUANT-EXIST,Quantifier,Existential,
PH-00010-A2,PH-00010,2,libros,PH-00010-T2,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00010-A3,PH-00010,3,antiguos,PH-00010-T3,ADJ-NINT-AGE,Adjective,Non-intersective,Age
PH-00010-A4,PH-00010,4,sobre historia,"PH-00010-T4, PH-00010-T5",PP,Prepositional Phrase,,
PH-00012-A1,PH-00012,1,Una,PH-00012-T1,ART-INDEF,Article,Indefinite,
PH-00012-A2,PH-00012,2,casa,PH-00012-T2,NOUN-INANIM-OBJ,Noun,Inanimate,Object
PH-00012-A3,PH-00012,3,moderna,PH-00012-T3,ADJ-NINT-QUAL,Adjective,Non-intersective,Qualifier
PH-00012-A4,PH-00012,4,grande,PH-00012-T4,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
PH-00012-A5,PH-00012,5,con jardín,"PH-00012-T5, PH-00012-T6",PP,Prepositional Phrase,,
PH-00013-A1,PH-00013,1,Nuestra,PH-00013-T1,POSS-GEN,Possessive,Genitive,
PH-00013-A2,PH-00013,2,mesa,PH-00013-T2,NOUN-INANIM-OBJECT,Noun,Inanimate,Object
PH-00013-A3,PH-00013,3,redonda,PH-00013-T3,ADJ-INT-SHAPE,Adjective,Intersective,Shape
PH-00013-A4,PH-00013,4,pequeña,PH-00013-T4,ADJ-NINT-SIZE,Adjective,Non-intersective,Size
